School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Season
Troy NCAA,34,23,11,0.676,3.55,-2.1,2495,2235,67.5,108.7,0.379,0.449,0.541,53.8,55.6,14,12.9,0.502,16.6,39,0.272,2023
Tulane,34,19,15,0.559,1.24,-0.73,2533,2393,68.1,109,0.357,0.396,0.559,49,57.2,10.8,13.1,0.519,14,27.3,0.271,2023
Tulsa,33,13,20,0.394,-5.93,-1.9,2352,2430,67.6,103.8,0.338,0.426,0.531,49.1,54.3,8.9,6.9,0.503,14.5,27.3,0.225,2023
UAB,37,24,13,0.649,4.7,-0.1,3040,2822,70.4,115.9,0.309,0.295,0.544,53.5,53.6,9.5,10.3,0.506,11.6,37.9,0.236,2023
UC Davis,32,15,17,0.469,-6.41,-1.51,2175,2249,68.6,98.6,0.376,0.35,0.517,47.7,48,11.4,10.4,0.47,16.8,28.9,0.279,2023
UC Irvine,39,32,7,0.821,7.6,-0.8,2962,2613,69.7,107.2,0.366,0.349,0.564,52.6,60.2,9.3,8.8,0.517,15.9,27.8,0.29,2023
UC Riverside,34,21,13,0.618,-1.47,0.38,2542,2550,68,108.3,0.269,0.428,0.532,51.7,49.7,7.9,6.7,0.498,13.7,33.2,0.203,2023
UC San Diego NCAA,35,30,5,0.857,12.63,-1.92,2777,2163,67.4,117.7,0.322,0.503,0.585,49.7,57.7,14.6,7.1,0.555,11.4,26.7,0.24,2023
UC Santa Barbara,34,21,13,0.618,0.28,-3.5,2527,2340,66.9,111,0.302,0.472,0.584,50.6,58.1,9,8.7,0.553,16.1,27.7,0.231,2023
UCF,37,20,17,0.541,10.59,11.22,2951,2974,72.5,108.2,0.356,0.417,0.543,48.7,52.1,10.3,10.9,0.497,14.3,31.9,0.276,2023
UCLA NCAA,34,23,11,0.676,19.68,10.71,2522,2217,66.2,112,0.323,0.365,0.558,50.9,61.1,12.2,11,0.528,13.7,32.7,0.23,2023
UNC Asheville,32,21,11,0.656,-5.36,-4.71,2630,2450,70.8,114.8,0.344,0.367,0.567,49.1,47.7,10.5,11.7,0.537,12.6,31.3,0.246,2023
UNC Greensboro,32,20,12,0.625,-0.99,-4.13,2332,2092,65.2,111.8,0.296,0.427,0.553,51.9,50.9,9.2,8.7,0.522,13,31.8,0.217,2023
UNC Wilmington NCAA,35,27,8,0.771,2.36,-3.95,2771,2459,67.4,116.2,0.37,0.367,0.57,55,55.4,9.4,10.3,0.531,13.7,36.5,0.278,2023
UT Arlington,31,13,18,0.419,-5.55,-2.83,2302,2320,69.1,106.1,0.367,0.423,0.547,50.8,54.6,8.5,8,0.521,16.6,33.1,0.243,2023
Utah,33,16,17,0.485,11.44,8.5,2493,2396,69.3,108.6,0.368,0.439,0.541,53.4,65.6,9.2,10.2,0.518,15.1,34.4,0.236,2023
Utah State NCAA,34,26,8,0.765,13.56,5.35,2716,2381,67.2,118.8,0.369,0.427,0.587,52.1,61.2,12.7,9,0.56,13.6,34.9,0.259,2023
Utah Tech,33,7,26,0.212,-10.29,-1.65,2305,2508,69.3,100.5,0.331,0.387,0.522,47.6,51.6,9.3,8.2,0.489,15.9,28,0.23,2023
Utah Valley,34,25,9,0.735,1.91,-3.31,2584,2322,69.4,108.8,0.414,0.314,0.554,53.4,58.2,9.5,14.2,0.521,15.1,31.5,0.285,2023
UTEP,33,18,15,0.545,-0.63,0.34,2392,2335,69.5,103.9,0.373,0.365,0.541,46,52.6,14.6,9.2,0.503,15,25.6,0.267,2023
UTSA,31,12,19,0.387,-2.55,0.52,2378,2382,70.4,108.1,0.287,0.442,0.543,46,48.2,13.4,10,0.503,13.4,28.8,0.227,2023
Valparaiso,34,15,19,0.441,-2.9,-0.12,2539,2513,68.5,107.8,0.328,0.383,0.537,49.2,46.8,8.4,10.3,0.491,12.3,27.4,0.259,2023
Vanderbilt NCAA,33,20,13,0.606,14.66,10.05,2604,2452,69.8,112.6,0.334,0.404,0.552,50,50.2,12.8,11.2,0.515,12.5,31.6,0.249,2023
Vermont,33,21,12,0.636,-8.06,-7.61,2199,2106,64.4,103.4,0.304,0.433,0.537,50.8,51.3,8.7,13,0.505,15.3,26.8,0.219,2023
Villanova,36,21,15,0.583,13.28,7.45,2664,2454,63.8,115.7,0.292,0.437,0.581,52.1,48.4,8.8,7.8,0.545,13.3,30.3,0.232,2023
Virginia,32,15,17,0.469,5.71,7.71,2073,2137,61.6,105.1,0.264,0.428,0.556,47.1,63.6,8.9,11.3,0.527,14.8,22.4,0.199,2023
Virginia Commonwealth NCAA,35,28,7,0.8,14.45,1.3,2693,2201,66.6,115.1,0.321,0.48,0.56,53.3,56.4,12,15.3,0.526,14.1,36.9,0.239,2023
VMI,34,15,19,0.441,-11.25,-4.88,2492,2487,68.8,106.1,0.352,0.477,0.546,48.9,51.3,11.5,8.2,0.504,15.2,28.3,0.268,2023
Virginia Tech,32,13,19,0.406,2.62,6.62,2213,2341,66.1,103.5,0.308,0.404,0.543,50.9,51.5,8.1,5.8,0.512,17.4,31,0.22,2023
Wagner,30,14,16,0.467,-15.75,-10.29,1874,1818,61.8,99.9,0.295,0.379,0.503,53.6,57,11.3,5.8,0.469,15.9,32.6,0.209,2023
Wake Forest,32,21,11,0.656,9.63,7.47,2246,2177,67.9,103.4,0.361,0.352,0.538,48.3,45.8,10.6,12.7,0.494,14.8,26.8,0.273,2023
Washington,31,13,18,0.419,6.26,10.76,2219,2339,68.6,103.4,0.352,0.357,0.537,48.9,50.6,9.3,10.5,0.506,15.3,27.6,0.24,2023
Washington State,34,19,15,0.559,4.67,4.32,2683,2671,71.6,109.8,0.327,0.413,0.589,50,59.3,8.9,12.7,0.566,17.9,31.1,0.229,2023
Weber State,34,12,22,0.353,-9.64,-3.16,2443,2443,66.9,106.6,0.343,0.382,0.552,49.3,44.9,9.6,7.4,0.521,14.4,25.5,0.241,2023
West Georgia,31,6,25,0.194,-15.57,-4.5,2140,2426,69.3,99.6,0.286,0.301,0.51,47.4,52.1,10.1,9.2,0.48,14.3,26.2,0.198,2023
West Virginia,32,19,13,0.594,14.89,11.54,2181,2074,65.2,102.9,0.256,0.461,0.528,47.6,56.5,11.4,11.6,0.5,14.3,25.9,0.185,2023
Western Carolina,30,8,22,0.267,-15.83,-2.35,2090,2371,71.6,96.1,0.277,0.488,0.505,49.5,50.3,7.3,8.7,0.468,16.9,27,0.207,2023
Western Illinois,31,12,19,0.387,-15.22,-8.5,2130,2211,65.5,104.1,0.275,0.376,0.536,50.4,41,8.2,9.8,0.511,15.8,30.2,0.19,2023
Western Kentucky,32,17,15,0.531,-0.5,1,2395,2392,72.9,102.3,0.309,0.399,0.523,47.8,45.3,11.1,7.9,0.488,13.3,23.9,0.224,2023
Western Michigan,32,12,20,0.375,-9.55,-4.17,2306,2433,69.4,103.8,0.309,0.332,0.504,52,46.8,10,6.8,0.474,13.3,34.3,0.208,2023
Wichita State,34,19,15,0.559,2.29,1.81,2516,2485,69.4,105.8,0.351,0.283,0.528,52.2,44.2,9.6,11.7,0.488,14.2,32.4,0.256,2023
William & Mary,32,17,15,0.531,-6.26,-4.26,2487,2445,71.2,109.1,0.348,0.517,0.574,49,62.8,10.2,5.2,0.544,15.8,26.9,0.251,2023
Winthrop,34,23,11,0.676,-1.68,-4.17,2879,2651,74.1,113.1,0.47,0.39,0.57,51.6,44.9,10.6,8.8,0.54,15,33.4,0.314,2023
Wisconsin NCAA,37,27,10,0.73,20.73,11.49,2964,2622,68.7,116.3,0.342,0.482,0.584,51.7,54.2,7.5,6.3,0.538,12.3,28,0.282,2023
Wofford NCAA,35,19,16,0.543,-0.13,-2.34,2623,2451,65.2,114.1,0.303,0.48,0.554,55.4,56,9.1,8.6,0.534,13.9,36.9,0.2,2023
Wright State,33,15,18,0.455,-4.89,-3.79,2551,2520,68.1,112.2,0.27,0.377,0.586,51.4,52.7,8.3,8.2,0.566,15.6,29,0.191,2023
Wyoming,32,12,20,0.375,-0.67,4.21,2149,2277,65.7,101.8,0.3,0.399,0.529,51.5,47.9,6.7,8.2,0.506,16.9,30.7,0.196,2023
Xavier NCAA,34,22,12,0.647,15.25,8.72,2656,2434,69.4,111.7,0.367,0.376,0.584,50.4,62.8,11.1,6.9,0.541,14,24.4,0.289,2023
Yale NCAA,30,22,8,0.733,6.66,-3.1,2439,2102,69,117.9,0.313,0.323,0.58,54.8,54.9,8.4,11.7,0.552,12.6,33,0.228,2023
Youngstown State,34,21,13,0.618,-3.85,-4.98,2599,2446,70.6,107.5,0.358,0.461,0.548,50.5,53.1,9.8,13.2,0.51,14.9,30.9,0.262,2023
Abilene Christian,30,13,17,0.433,-2.79,0.9,2249,2133,70.9,104.9,0.318,0.341,0.543,49.1,58,12.3,7,0.51,15.5,28.6,0.23,2022
Air Force,32,14,18,0.438,2,2.12,2142,2146,63.6,104,0.312,0.448,0.57,47.7,64.9,8.9,11,0.542,17.2,22.3,0.226,2022
Akron,33,22,11,0.667,4.19,-1.65,2463,2209,67.2,110.3,0.339,0.445,0.559,52.1,52.5,8.9,7.2,0.524,14.4,29.9,0.25,2022
Alabama NCAA,37,31,6,0.838,23.19,9.65,3027,2526,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266,2022
Alabama A&M,33,15,18,0.455,-10.78,-7.71,2297,2340,69.9,98.9,0.347,0.327,0.528,47.8,50.9,11.4,12,0.501,18.6,30,0.228,2022
Alabama State,31,8,23,0.258,-16.33,-6.29,1963,2252,68.6,92,0.321,0.332,0.468,48.5,45.2,8.5,9.1,0.426,16.5,32.4,0.226,2022
Albany (NY),31,8,23,0.258,-14.36,-4.53,2086,2332,67.9,98.8,0.313,0.413,0.517,49.8,50,8.4,4.5,0.481,17,28.8,0.226,2022
Alcorn State,32,18,14,0.563,-8.74,-5.81,2165,2259,67.8,98.2,0.353,0.297,0.496,50.2,41.4,11.7,7.7,0.452,15.6,33.7,0.254,2022
American,32,17,15,0.531,-8.26,-7.73,2093,2110,62.6,102.9,0.279,0.361,0.567,51,55.5,11.7,11.4,0.544,19.5,28.3,0.196,2022
Appalachian State,32,16,16,0.5,-1.5,-0.98,2248,2067,67.3,103.6,0.293,0.392,0.532,49.8,50.9,9.4,12.8,0.507,14.3,25.8,0.198,2022
Arizona NCAA,35,28,7,0.8,19.08,8.34,2866,2490,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253,2022
Arizona State NCAA,36,23,13,0.639,11.29,8.18,2559,2447,69,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2,0.215,2022
Arkansas NCAA,36,22,14,0.611,15.99,9.87,2666,2446,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7,0.274,2022
Arkansas State,33,13,20,0.394,-8.07,-3.3,2169,2232,64.8,101,0.334,0.33,0.52,50.3,55.7,10.2,9.2,0.49,15.6,29,0.226,2022
Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,2074,2162,71.3,93,0.328,0.433,0.501,48.7,56.5,11.2,7.9,0.46,18.6,27.2,0.238,2022
Army,33,17,16,0.515,-7.13,-7.58,2412,2322,68.1,106.5,0.308,0.387,0.568,53,48.8,7.4,6,0.546,16.7,27.5,0.21,2022
Auburn NCAA,34,21,13,0.618,14.35,9.29,2474,2302,68.7,105.6,0.363,0.352,0.53,50.4,54.7,11.2,13.6,0.495,15.1,32.8,0.253,2022
Austin Peay,31,9,22,0.29,-12.17,-2.6,2067,2241,66.8,99.4,0.277,0.385,0.51,47.1,52.1,10.6,8.8,0.477,15.2,28,0.201,2022
Ball State,32,20,12,0.625,-1.2,-3.5,2445,2292,68.5,111.1,0.425,0.365,0.57,52.1,50.2,8,9.8,0.538,15.4,31.2,0.293,2022
Baylor NCAA,34,23,11,0.676,17.3,10.54,2619,2389,67.8,113.3,0.368,0.449,0.57,51.5,54.9,9.6,6.9,0.532,15.2,34.4,0.274,2022
Bellarmine,33,15,18,0.455,-7.42,-1.35,2187,2216,62.8,104.7,0.251,0.433,0.562,48,58.6,8.8,5.4,0.535,15.9,22.1,0.189,2022
Belmont,32,21,11,0.656,1.88,-1.93,2447,2299,69,109.9,0.249,0.416,0.575,48.4,54.3,10.1,8.1,0.553,14.6,25.2,0.181,2022
Bethune-Cookman,32,12,20,0.375,-17.15,-7.82,2172,2401,69.5,97.2,0.315,0.325,0.507,46.2,46.9,10.3,7.7,0.473,16.2,27.6,0.22,2022
Binghamton,31,13,18,0.419,-10.44,-5.51,2133,2217,67,101,0.297,0.302,0.53,51,45.5,6.8,8.4,0.499,16.7,29,0.212,2022
Boise State NCAA,34,24,10,0.706,12.78,6.21,2451,2198,66.8,106.8,0.303,0.378,0.553,52.6,43.8,7.5,8,0.521,14.6,27.4,0.222,2022
Boston College,33,16,17,0.485,1.09,4.73,2197,2317,66.7,99,0.273,0.315,0.519,49.3,50.4,9.5,10.4,0.487,16.1,27.5,0.198,2022
Boston University,32,15,17,0.469,-8.1,-6.52,2147,2151,66.3,99.7,0.284,0.391,0.513,51.3,44,9.5,7.5,0.477,15.5,28.6,0.21,2022
Bowling Green State,31,11,20,0.355,-8.46,-3.81,2355,2434,71.2,106.7,0.335,0.354,0.547,50.8,51,8.5,8.1,0.512,14.9,29.6,0.243,2022
Bradley,35,25,10,0.714,6.51,-0.67,2473,2195,65.9,106.8,0.275,0.391,0.55,52.8,50.7,10.3,11.8,0.53,15.4,29.2,0.183,2022
Brigham Young,34,19,15,0.559,9.43,5.4,2568,2376,70.9,106.1,0.324,0.404,0.554,54,54.9,10.4,11.4,0.523,17.2,31.8,0.232,2022
Brown,27,14,13,0.519,-2.47,-2.69,1878,1872,69.9,99.1,0.298,0.399,0.528,50.3,54.5,10.2,9,0.507,16.9,25.3,0.191,2022
Bryant,30,17,13,0.567,-3.59,-4.52,2381,2193,73,108.3,0.331,0.392,0.565,53.6,47.5,9.1,9.4,0.532,16,30.1,0.243,2022
Bucknell,32,12,20,0.375,-9.93,-6.96,2161,2192,66.4,100.9,0.265,0.377,0.549,51.5,53.8,8.2,10.3,0.523,17.8,25.8,0.19,2022
Buffalo,32,15,17,0.469,-2.97,0.67,2481,2485,74.2,104.1,0.316,0.348,0.539,51.8,51.9,10.7,8.2,0.509,16.4,31.9,0.223,2022
Butler,32,14,18,0.438,5.85,8.54,2088,2174,67.2,97,0.26,0.358,0.526,45.2,52.3,10,11,0.495,16,19.9,0.192,2022
Cal Poly,33,8,25,0.242,-7.51,-0.54,2006,2174,65.1,92.7,0.306,0.355,0.505,50.3,47.7,8.4,7.6,0.465,18.7,25.8,0.228,2022
Cal State Bakersfield,33,11,22,0.333,-8.34,-1.47,1995,2134,63.4,93.9,0.289,0.247,0.495,49.7,48.5,9.6,10.6,0.454,17.4,28.6,0.22,2022
Cal State Fullerton,33,20,13,0.606,1.73,-0.27,2283,2148,65.5,102.5,0.376,0.379,0.535,49,43.6,9.6,7.7,0.5,15.5,26.9,0.26,2022
Cal State Northridge,32,7,25,0.219,-10.4,-1.74,2028,2194,65.7,96.1,0.353,0.331,0.501,48.6,45.2,9.5,9.2,0.454,16.5,28,0.262,2022
California,32,3,29,0.094,-3.36,8.43,1866,2243,64.3,90,0.315,0.309,0.479,47,46.5,7.3,9.1,0.437,17.6,25.3,0.228,2022
California Baptist,33,17,16,0.515,0.21,-0.69,2291,2156,65.9,104.5,0.312,0.441,0.526,52.3,58.1,6.7,8.2,0.5,14.8,30.4,0.207,2022
Campbell,34,16,18,0.471,-5.23,-4.89,2374,2329,64.6,106.1,0.389,0.384,0.564,49.6,50.1,9.5,9,0.531,16.1,25.3,0.273,2022
Canisius,30,10,20,0.333,-7.05,-3.46,2111,2169,67.5,102.1,0.248,0.406,0.522,48.4,56.5,8.1,6.6,0.492,15,28.8,0.181,2022
Central Arkansas,31,9,22,0.29,-13.72,-3.15,2261,2527,72.7,99.1,0.243,0.412,0.51,48.2,46.9,8.9,8.2,0.478,15.7,28.4,0.182,2022
Central Connecticut State,32,10,22,0.313,-13.68,-9.49,2111,2245,65.7,99.3,0.233,0.357,0.507,49.5,52.1,8.4,10.6,0.481,15.4,28.5,0.165,2022
Central Michigan,31,10,21,0.323,-11.97,-2.62,2038,2263,69,94.9,0.38,0.377,0.511,49.8,47.4,8.4,11.5,0.472,19.9,31.2,0.262,2022
Charleston Southern,31,10,21,0.323,-9.44,-4.47,2251,2305,67.1,107.7,0.269,0.395,0.539,51,45.5,7.5,7.8,0.511,14.9,32.6,0.196,2022
Charlotte,36,22,14,0.611,3.9,-0.46,2410,2253,61.5,107,0.249,0.413,0.576,49.8,53,8.8,7.6,0.551,15.4,22.3,0.187,2022
Chattanooga,35,18,17,0.514,-2.34,-3.34,2702,2523,68.9,111.7,0.313,0.518,0.576,51.7,58,8.3,10,0.55,14.8,28,0.223,2022
Chicago State,31,11,20,0.355,-11.29,-3.51,2180,2264,66.8,104.8,0.316,0.43,0.539,51.2,49.9,8.4,7.5,0.505,17.3,34.2,0.23,2022
Cincinnati,36,23,13,0.639,11.77,4.97,2776,2495,69.9,109.6,0.26,0.392,0.542,51.8,54.7,8.9,9.6,0.517,13,30.9,0.183,2022
Clemson,34,23,11,0.676,10.53,3.71,2540,2308,68.1,109,0.305,0.403,0.577,51.5,53.9,7.5,9.2,0.541,14.6,23.4,0.239,2022
Cleveland State,35,21,14,0.6,-2.6,-5.05,2512,2405,66.5,106.1,0.291,0.275,0.523,49.9,48.5,10.2,9.5,0.496,14.5,35.1,0.198,2022
Coastal Carolina,31,11,20,0.355,-8.93,-1.75,2273,2294,69.1,105.3,0.284,0.375,0.533,51.2,46.9,8.7,9.6,0.493,15.1,31.6,0.222,2022
Colgate NCAA,35,26,9,0.743,2.2,-5.86,2733,2426,68.2,114.5,0.269,0.348,0.594,51.7,61.1,10.4,7.7,0.581,13.4,25.5,0.178,2022
College of Charleston NCAA,35,31,4,0.886,8.4,-4.02,2804,2353,70.7,112.5,0.328,0.477,0.551,54.3,49.8,10.4,7.7,0.515,14.1,35.2,0.244,2022
Colorado,35,18,17,0.514,11.17,8.39,2445,2348,69.6,100.4,0.299,0.346,0.52,52.5,50.8,10.7,9.8,0.49,16.4,30.8,0.208,2022
Colorado State,33,15,18,0.455,5.64,5.86,2391,2355,66.4,107.9,0.296,0.385,0.586,48.1,62.4,8.4,7.7,0.558,15.3,19.9,0.22,2022
Columbia,29,7,22,0.241,-14.37,-2.37,1966,2197,70.6,95.2,0.282,0.413,0.502,46.6,48.9,9.5,5,0.468,17,27,0.201,2022
Connecticut NCAA,39,31,8,0.795,22.95,8.51,3064,2501,68.4,114.9,0.308,0.417,0.573,56.7,63.2,9.2,12.7,0.539,15.8,38.4,0.234,2022
Coppin State,32,9,23,0.281,-14.76,-3.6,2304,2661,73.1,97,0.372,0.443,0.547,42.3,46.3,10.4,6.8,0.51,18.5,18.6,0.267,2022
Cornell,28,17,11,0.607,0.63,-2.41,2287,2129,72.5,112.1,0.282,0.49,0.58,50,59.9,13.3,6.3,0.556,15,29.5,0.204,2022
Creighton NCAA,37,24,13,0.649,17.83,9.8,2828,2531,69.3,109.6,0.284,0.417,0.576,52.7,57.3,7.2,9.2,0.542,14.9,25.3,0.222,2022
Dartmouth,28,10,18,0.357,-7.98,-2.52,1998,2027,70.8,99.4,0.292,0.421,0.54,49.6,50.1,7.6,10.4,0.512,17.9,24.2,0.204,2022
Davidson,32,16,16,0.5,1.99,1.47,2236,2197,66.1,104.4,0.339,0.374,0.543,48.7,53.5,8,3.5,0.503,14.4,24.8,0.254,2022
Dayton,34,22,12,0.647,8.71,1.09,2334,2075,63.6,107.2,0.355,0.373,0.56,53.8,62.2,7.5,12.5,0.53,16.5,30.8,0.248,2022
Delaware,33,17,16,0.515,-5.57,-3.72,2298,2333,67.4,102.6,0.331,0.366,0.534,47.6,47.7,10.2,10.6,0.498,14.8,25.3,0.241,2022
Delaware State,30,6,24,0.2,-17.7,-4.95,1939,2265,69.6,92.1,0.286,0.314,0.495,50.2,52.1,9.9,8.2,0.463,19.7,30.7,0.197,2022
Denver,32,15,17,0.469,-9.56,-5.89,2325,2402,69.1,103.6,0.416,0.258,0.566,53.1,43.5,7.9,8.4,0.529,18.9,29.8,0.298,2022
DePaul,33,10,23,0.303,2.9,9.03,2349,2551,69.8,100.4,0.276,0.378,0.53,45.7,54.5,9,12,0.497,16.1,25.8,0.204,2022
Detroit Mercy,33,14,19,0.424,-3.21,-3.61,2527,2486,67.8,112.1,0.281,0.432,0.551,52.5,47.1,9,5.5,0.516,14.5,35.9,0.216,2022
Drake NCAA,35,27,8,0.771,7.84,-1.14,2617,2236,67,109.2,0.279,0.37,0.569,52.2,50.2,7.8,7.4,0.537,13.8,24.3,0.214,2022
Drexel,32,17,15,0.531,-2.27,-5.43,2135,1997,64,102.2,0.294,0.404,0.522,51.6,48.4,8.6,8,0.495,15.4,30.2,0.201,2022
Duke NCAA,36,27,9,0.75,15.83,7.44,2592,2290,65.5,109.5,0.299,0.353,0.548,55.7,56.2,8.6,12.2,0.511,15.4,35.9,0.229,2022
Duquesne,33,20,13,0.606,3.48,-0.16,2472,2352,69.4,108,0.264,0.403,0.535,49.6,56.3,11.6,10,0.511,14.6,33.4,0.183,2022
East Carolina,33,16,17,0.485,-0.29,1.41,2271,2327,68.6,100.4,0.371,0.416,0.509,51.5,56.3,9.5,7,0.471,16.3,33,0.255,2022
East Tennessee State,32,12,20,0.375,-6,-4.44,2211,2208,66.7,103.2,0.301,0.349,0.533,51.3,47.5,9.1,9.4,0.509,16.8,31.5,0.202,2022
East Texas A&M,33,13,20,0.394,-11.09,-7.53,2362,2421,67,104.8,0.276,0.459,0.552,48.6,55.2,8.5,8.4,0.528,16.5,27.4,0.194,2022
Eastern Illinois,31,9,22,0.29,-14.09,-6.75,2134,2235,70.7,96.9,0.329,0.274,0.513,47.2,56.3,11.8,10.1,0.488,16.8,25.8,0.21,2022
Eastern Kentucky,37,23,14,0.622,-1.47,-1.62,2909,2720,72,107.3,0.241,0.373,0.525,51.9,50.3,10.9,12.7,0.505,13.8,34.1,0.159,2022
Eastern Michigan,31,8,23,0.258,-11.05,-1.88,2239,2505,70.3,101.9,0.315,0.333,0.533,45.9,37.2,8.8,6.2,0.492,14.9,25,0.241,2022
Eastern Washington,34,23,11,0.676,1.47,-1.62,2607,2429,68.9,111.2,0.31,0.44,0.598,53.7,56.2,7.5,9.5,0.569,17.5,29.2,0.234,2022
Elon,32,8,24,0.25,-12.85,-4.38,2094,2291,67,97.7,0.277,0.403,0.517,48.4,51,9.1,6.7,0.486,16.3,25.7,0.197,2022
Evansville,32,5,27,0.156,-15.14,-1.54,1997,2432,69.8,89.4,0.294,0.336,0.476,45.1,45,10,5.8,0.451,15.8,20.7,0.185,2022
Fairfield,31,13,18,0.419,-6.98,-4.51,2012,2045,64.9,98.7,0.373,0.369,0.508,49.6,42.9,8.3,9.5,0.463,15.6,28.8,0.27,2022
FDU NCAA,37,21,16,0.568,-8.98,-9.83,2863,2744,69.8,109.7,0.271,0.379,0.549,50.3,52.2,11.3,6,0.517,14,31.9,0.204,2022
Florida,33,16,17,0.485,10.9,8.26,2351,2264,69.7,101.8,0.345,0.368,0.53,47.3,48.9,9.7,12.3,0.494,14.3,23.8,0.247,2022
Florida A&M,29,7,22,0.241,-17.81,-4.99,1700,2030,66.5,87.8,0.323,0.347,0.48,47.8,47.1,9.9,10.2,0.442,20.8,29.3,0.223,2022
Florida Atlantic NCAA,39,35,4,0.897,13.92,2.3,3035,2547,68.5,112.8,0.294,0.44,0.572,54.2,51.8,9.4,6.7,0.547,14.8,31.6,0.212,2022
Florida Gulf Coast,32,17,15,0.531,-2.63,-3.08,2280,2222,66.7,106.1,0.275,0.451,0.547,49.6,50.8,10.2,9.6,0.517,14.9,27.2,0.203,2022
Florida International,32,14,18,0.438,-2.71,0.32,2339,2404,71,101.4,0.291,0.361,0.552,45.3,45.8,12.6,11.2,0.525,18.3,25.5,0.207,2022
Florida State,32,9,23,0.281,-0.38,6.5,2219,2439,69,100.5,0.304,0.344,0.527,47.1,53.6,8.9,11.3,0.493,15.6,25.9,0.221,2022
Fordham,33,25,8,0.758,2.26,-2.14,2376,2231,70,102.1,0.376,0.417,0.53,52,52.4,10.2,12.5,0.486,16.6,29.9,0.279,2022
Fresno State,31,11,20,0.355,2.6,5.1,1974,2036,64,99.5,0.251,0.407,0.527,48.1,53.1,9.9,10.3,0.493,16.1,24.9,0.194,2022
Furman NCAA,36,28,8,0.778,4.89,-2.9,2911,2563,69.4,115.4,0.341,0.464,0.588,51.2,59.1,9.4,8.4,0.557,13.8,28.8,0.253,2022
Gardner-Webb,31,15,16,0.484,-3.84,-4.64,2192,2032,67.5,103.1,0.34,0.335,0.542,52.7,49.1,10.4,14.3,0.523,16.6,29.7,0.213,2022
George Mason,33,20,13,0.606,1.73,0.27,2268,2220,67.6,100.9,0.37,0.386,0.544,52.4,56.5,6.8,8.5,0.519,17.8,27.9,0.241,2022
George Washington,32,16,16,0.5,-1.93,-0.61,2441,2455,69.7,107.4,0.348,0.384,0.566,49.8,46.7,8,9,0.532,15.8,26.9,0.257,2022
Georgetown,32,7,25,0.219,-1.07,7.52,2225,2500,69.6,99.1,0.291,0.31,0.505,49,46.5,8.8,12.1,0.471,15.1,28.9,0.209,2022
Georgia,32,16,16,0.5,1.8,4.8,2193,2289,68.2,100.1,0.405,0.382,0.518,50.2,49.2,9.2,7,0.471,16.7,30.6,0.294,2022
Georgia Southern,33,17,16,0.515,-3.25,-2.02,2257,2201,67.6,100.8,0.28,0.342,0.517,50.2,40.8,10.4,8.2,0.49,14.8,27.7,0.192,2022
Georgia State,31,10,21,0.323,-6.79,-0.93,2068,2150,67.8,98,0.325,0.311,0.501,51.2,45.9,8.5,9.8,0.462,16.2,31.9,0.231,2022
Georgia Tech,33,15,18,0.455,2.08,4.89,2301,2335,67.6,102.8,0.236,0.383,0.512,48.8,54.2,8.8,10.6,0.488,13.5,28.9,0.164,2022
Gonzaga NCAA,37,31,6,0.838,18.99,8.04,3187,2715,71.9,119.5,0.337,0.323,0.602,54,50.7,10,9.3,0.582,13,31.4,0.233,2022
Grambling,33,24,9,0.727,-4.03,-8.48,2276,2054,67.8,101.3,0.417,0.274,0.532,51.4,49.9,10.8,12.1,0.503,18.2,32.8,0.269,2022
Grand Canyon NCAA,36,24,12,0.667,4.43,1.27,2706,2421,66.9,111.5,0.358,0.418,0.573,52.1,48.4,7.3,8.1,0.542,15.4,30.8,0.256,2022
Green Bay,32,3,29,0.094,-20.3,-3.14,1898,2447,66.2,89.2,0.315,0.435,0.496,43.6,53.4,7.6,6.3,0.459,18.9,21.7,0.221,2022
Hampton,32,8,24,0.25,-15.25,-4.71,2183,2481,69.9,97.2,0.329,0.367,0.488,46.9,46.4,6.1,8.5,0.451,13.7,26.8,0.226,2022
Hartford,28,5,23,0.179,-23.12,-7.96,1757,1991,66.3,94.7,0.235,0.402,0.512,47.7,55.2,9.6,10.6,0.494,19,27.1,0.151,2022
Harvard,28,14,14,0.5,-0.71,-2.02,1914,1858,67.8,99.9,0.309,0.374,0.524,52.9,52.9,11,10.8,0.497,17.3,31,0.207,2022
Hawaii,33,22,11,0.667,2.36,-2.17,2208,2039,64.9,101.9,0.33,0.371,0.53,52.3,47.5,7,9,0.49,16.2,29.5,0.247,2022
High Point,31,14,17,0.452,-9.88,-5.23,2312,2392,72.7,102.7,0.394,0.393,0.531,50.1,47.1,9,12.7,0.507,16.7,31.4,0.246,2022
